name,Urban area burned (square meters),Buffer type,Time since fire ignition (hours)
Tubbs_urban_to_TL2_nb_buffer1280_1009_1700,0,NB3 very large,30
Tubbs_urban_to_TL2_nb_buffer1280_1009_1800,0,NB3 very large,33
Tubbs_urban_to_TL2_nb_buffer1280_1009_1900,0,NB3 very large,33
Tubbs_urban_to_TL2_nb_buffer1280_1009_2000,0,NB3 very large,33
Tubbs_urban_to_TL2_nb_buffer1280_1009_2100,0,NB3 very large,36
Tubbs_urban_to_TL2_nb_buffer1280_1009_2200,0,NB3 very large,36
Tubbs_urban_to_TL2_nb_buffer1280_1009_2300,0,NB3 very large,36
Tubbs_urban_to_TL2_nb_buffer1280_1010_0000,0,NB3 very large,39
Tubbs_urban_to_TL2_nb_buffer1280_1010_0100,0,NB3 very large,39
Tubbs_urban_to_TL2_nb_buffer1280_1010_0200,0,NB3 very large,39
